ID, Nome, Preco, Minimo de noites
19629,Historic 1-bedroom Adobe Casita,225,30
19630,Spacious Long Beach Escape w Private Hot Tub + Bar,231,2
19631,Serene Palisades Family Retreat,260,31
19632,Newly Renovated Modern Home in El Monte,165,1
19633,The Famous Lassie House Room 1,69,2
19634,Centrally Located Bedroom in LA,37,30
19635,ORANGE GROVE RESIDENT #1,100,3
19636,Serene hide out in Saugus.,77,2
19637,Retro Vibes - Updated 1950s Unit A/C Parking,123,3
19638,Granada Hills Little Secret,73,30
19639,LA Charm: Cozy 2BR in Monterey,152,1
19640,Condo-room A with private kitchen & restroom,50,30
19641,Studio.,62,1
19642,Cozy Palms,175,2
19643,The house on Ford,105,2
19644,Spacious and comfortable room,65,1
19645,Valencia newly furnished corner lot-Modern &Clean,390,28
19646,Santa Monica Beach Prime Location,265,2
19647,4B4B Charming Designer Home 24HSelf CheckIn Free P,293,2
19648,Lovely Long Beach Get-Away,325,3
19649,Bob's Place - on Peninsula bay side,198,2
19650,2 Room Suite with private bath&kitchen ocean view,99,30
19651,Modern Hollywood Hills Celebrity Hideaway,700,3
19652,Modern & Spacious Apartment 2 Bedrooms &1 Bath,122,30
19653,Waterfront 1 bdrm Avail Aug 31 furnished w/garage,100,31
19654,Small room in tiny home,35,31
19655,A Cozy Home with amazing ocean views,350,30
19656,2 bedroom Beach View-Steps to the Sand,230,3
19657,Charming 3 bdr villa with pool!,889,3
19658,New Renovated Modern House (Up to 6) Near DTLA,142,1
19659,Beautiful Long Beach Bungalow,150,31
19660,Private Room 4 - Albret St. (Upstairs),35,1
19661,Wonderful Naples Beauty: Steps to Beach Bliss!,242,31
19662,Bright & big room in upstairs,58,2
19663,Newly Renovated Home w/ Family Friendly Amenities!,227,2
19664,Sofi 10min LAX Beaches LoVe,105,1
19665,Bright Charming Guesthouse by the Pool,185,30
19666,Luxury HiRise downtown LA w/ Skyline View & Pool,158,1
19667,New! Shepard's Hollow Marina Loft,376,31
19668,Vintage Boho Beach Cottage,365,3
19669,5 Mins walk to PCC Quiet Room Beautiful Home-D,68,30
19670,Beautiful home in prime Pasadena,225,2
19671,Foothill  retreat,110,1
19672,The Perfect Beach House | Walk to Weach!,180,1
19673,Modern 1 BR With Shared Bath Near USC,49,30
19674,Charming Room in Historic LA.!,48,7
19675,Cozy Master Suite in My Peaceful Luxury Apartment,130,2
19676,Charming Suite with Private Pool,160,30
19677,Beautiful Newer Home Gated Parking Fully Stocked,118,30
19678,Valencia living room space 888,35,1
19679,Luxury Guestsuite with private entry and king bed,200,1
19680,Crypto & Sunset skyrise LA VIEW!,272,2
19681,Terranea Luxurious Villa - Ocean and Golf Views,1199,2
19682,Eclectic designer Home in West Hollywood,1300,31
19683,Hollywood Home on Melrose,200,30
19684,Luxury 2B/2.5B  in the Heart of Pasadena!,193,3
19685,My front house is 2 bedrooms and 2 baths for rent.,171,1
19686,All private cozy one bedroom,74,2
19687,Comfortable Studio Apartment.,81,2
19688,Chic West Hollywood Retreat,210,30
19689,Charming Condo Downtown Long Beach,99,31
19690,Cozy New Home near all LA Attractions Free Parking,144,2
19691,Cozy beach cottage,187,2
19692,Private Little Cabin Room in Midcity Best Area LA,66,1
19693,Huge room near the ocean with 5G FAST WIFI,55,31
19694,Amazing Modern Home by the Beach,525,2
19695,Comfortable and Stylish Home Close to Caltech,298,3
19696,Mi Casita-Bungalow Vacation Home,138,2
19697,15% Weekly Stay | 4BR in West Covina,210,1
19698,Classic Condo in Downtown Long Beach,85,31
19699,Adorable Guest Space with Pool Access,120,1
19700,Sunrise Retreat on Maple MT#42090,236,29
19701,Mid Century Estate Private Suite Pool/Jacuzzi/Gym,225,2
19702,Magic Mountain Luxury Hideaway,246,3
19703,Luxury Studio in Windsor Hills,122,3
19704,Modern Cozy Townhome - 5,250,31
19705,Modern 1b1b courtyard view,130,30
19706,Stylish Apt. Beach/Downtown/ & Convention Center,130,1
19707,6th Haven |Arcade|King Bed|Games|1 Mile to Beaches,135,2
19708,H319 - Beautiful Villa w/ Spectacular Views,262,1
19709,GUEST House,104,3
19710,Spacious clean and private loft in Los Angeles,95,2
19711,Leafy Oasis in the Oaks/Los Feliz hills,300,30
19712,Near Los Angeles and Long Beach the Pike and pier,132,1
19713,The Bungalow on Bennett,170,2
19714,DTLA Views & Hollywood Sign,409,1
19715,Comfy Stay by BMO Stadium & Expo,115,30
19716,1bed 1bath: King Bed Car Garage AC Sofa Sleeper,149,2
19717,Nice cozy place to stay!,52,2
19718,The Famous Lassie House Room 4,69,2
19719,Walk to Claremont Colleges,75,150
19720,Historic Modern House Pasadena,141,2
19721,No DUI Crash Twin II,40,1
19722,Blueground | W. Hollywood nr shops & melrose,187,31
19723,LA Jewel- 2B/1BA Heart of Monterey Park,116,3
19724,Charming Remodeled 2BD/1BTH Near 10FW/605 FWY DTLA,155,2
19725,Executive 1 Bedroom Suite-LUXURY!!!,115,30
19726,Your 2nd Home- Room 1- Private Bedroom,49,2
19727,Santa Clarita Tropical Getaway Six Flags LA,1057,2
19728,Downtown LA Dream APT w/ Rooftop Views,319,1
19729,Private Room and Bathroom 15 minutes from LAX,65,15
19730,Pasadena Old World Comfort,900,28
19731,Level Long Beach - Luxury Two Bedroom Suite,227,31
19732,4-bedroom detached condo 3 mi from Venice Beach!,200,30
19733,Charming and Private 3 bdrm Compound in Venice,800,30
19734,LA Estate near CSUN,40,31
19735,Beautiful beachfront House,359,2
19736,Tranquil Laurel Canyon Hillside Home,325,30
19737,BRIGHT & BEAUTIFUL w/ POOL BBQ UPSCALE AREA,321,1
19738,Canyon Villa: Serenity & Stunning Sunsets,200,3
19739,Paris Chic: KING bed CLEAN n safe QUIET 1br w POOL,99,31
19740,Skyline Oasis w/Sauna! &Sunsets-2BD,299,2
19741,Getaway where you feel at home.,49,31
19742,3BD Ocean Breezey Gated Front Yard  AC W/D,224,31
19743,The Pelican Beach House,500,2
19744,KING bed w/spacious Backyard SOFI Forum Beach LAX,285,30
19745,Walk to the Lagoon bike to the beach and relax,114,31
19746,Ocean Front Condo,136,31
19747,Cozy and Convenient room(room T),49,1
19748,COMFY Room Own Bath/Own Entrance/Parking,50,14
19749,Top Pick Villa By Guests in Summer,550,2
19750,2 bed 2 bath! Walk to beach!,215,2
19751,Blueground | Culver City gym walkable area,201,31
19752,Traveler's Respite,40,2
19753,Large Bedroom Private Bathroom,42,21
19754,2.5 Acre Peaceful Private Master Suite,40,14
19755,Private Nice Bedroom in Midcity Best Area,59,1
19756,Private Spacious and  bright backyard house,99,2
19757,New remodel private studio 7,67,2
19758,Family home,66,1
19759,Luxury 2 Bed 2 Bath in Hollywood,128,30
19760,Super Home,159,1
19761,Sweeping Hollywood Sign View 4BR Modern Home!,442,3
19762,Cozy Guest Suite w/Private Entry,129,2
19763,Lovely private tiny house in  Palmdale prime area,94,10
19764,Private entrance bath room and garage parking.,66,7
19765,2 Bedroom Private Spacious studio 7 mile to La,79,10
19766,Harbor Haven! Close to Aquarium of the Pacific,370,1
19767,Brand New Modern 4 Bedroom House Pickfair Village,326,30
19768,New Snug Spacious 2nd Story House with Work Space,79,2
19769,Beach gateway house w/backyard 4mins to the beach,319,25
19770,Clean 1BD Apartment by the Ocean,139,31
19771,Stunning Glendale Hills Modern Home with Views!!,495,5
19772,2 Bedroom Ocean Villa,2687,1
19773,Beach Bungalow in Long Beach 2B1B,207,1
19774,Spacious Estate with Pool & Spa,30,30
19775,Newhall Top Bunk,35,1
19776,Tiny LA Blue | 3BR | Pool & Orchard!,161,1
19777,The Orange Estates cute house,75,3
19778,(GreenHouse)Cozy room  in Downtown Burbank.,116,1
19779,Modern Renovated 3 Bedroom Home w/ Pool Hot Tub,350,3
19780,Oasis in the Desert on Tranquility Ct. Room 2,37,2
19781,Cozy 1BR/1BA in Northridge - Your Quick Escape!,164,2
19782,Petite Retreat Steps from Burgers Brews & More,143,5
19783,Luxe WeHo design loft w/private elevator,488,31
19784,Deluxe Modern 1 Queen Bed Hotel Suite,184,1
19785,Your Clean/Odorless/Sunny/Minimalist LA Dream,59,1
19786,Level Long Beach - Lovely One Bedroom Suite,178,31
19787,Malibu Canyon Luxury with a View,600,2
19788,Beach Pool Sauna What more can a girl ask for!,83,30
19789,4bedroom/3bath Relaxing Single Family beach house,485,1
19790,DTLA Historic Folk Victorian,94,30
19791,Brand New Modern 5 Bedroom House Pickfair Village,329,30
19792,Seaside Splendor! Near Long Beach Museum of Art,240,1
19793,King bed private room with balcony,59,2
19794,Coronado Palms #1,130,2
19795,Valencia living room space 222,35,1
19796,estrella 2,36,1
19797,Large Master room 4 min to beach,218,1
19798,vacation paradise family group party,251,1
19799,City Living at its Finest: Hotel Vibes,184,1
19800,Walkable - Restaurants coffee shops Beach Bay,276,3
19801,Mid-Century House in LA (C),97,1
19802,Nice Quite House with Beautiful Mountain View,370,29
19803,Beautiful Home with Golf Course View,293,2
19804,Artistic Fully Equipped Long-term Stay Ideal,150,29
19805,Near Disney! Quiet & Wonderful temporary housing!,286,30
19806,Closet Santa Monica USH MM Cozy & Private 2BR1BD,129,30
19807,New listing LA cozy 3bedroom House in Arcadia,154,2
19808,Dream Getaway: 2BR Beach Retreat,268,2
19809,Skyline Penthouse Near Cedars Sinai,600,30
19810,Master Suite,52,2
19811,A cozy private space in the City of Angeles!,240,2
19812,Elegant Escapade 2 Beds Sleeps 4,202,1
19813,Relaxing Hot Tub | 4 Bedroom | Close to Beach,330,2
19814,H1875: Large Impeccably Decorated Hamilton Cove,804,1
19815,Amazing views,93,1
19816,Piano Bar Photography and Social Space,400,1
19817,BOHO Hidden Gem near DTLA,127,1
19818,LBC Hideout 1,82,1
19819,stunning contemporary oasis!,500,30
19820,Jie's Choice Charming House in Arcadia Big Space,191,3
19821,Craftsman Home Apartment #4,99,31
19822,Monrovia Cozy Retreat near Los Angeles,109,1
19823,Luxury large Master Suite w/ Views in Luxury Villa,1143,30
19824,Home #6/Private TV/Fast wifi/Free street parking,61,1
19825,Master bedroom 798,94,2
19826,Family Friendly Hidden Gem,109,1
19827,Modern 1bed apt near K-Town LA,195,1
19828,Rental,80,1
19829,Luxurious Downtown Long Beach Oasis,245,2
19830,Lovely 2 Bedroom Condo with Pool,250,30
19831,Lovely 1-bedroom casa in paramount.,43,1
19832,MasterBedroom Private w/ JetTub near LAX & FWY.,77,1
19833,Sunrise Retreat on Maple M#42090,150,29
19834,20 mins from LAX 20 Mins from OC,147,2
19835,Condo_room B. Elegant master room.,50,30
19836,Long Beach Dreaming - Studio,87,2
19837,Beautiful & Spacious Home away from Home,234,2
19838,4bedroom/2baths home in San Marino/San Gabriel,225,2
19839,Walk to the great beaches of Belmont Shore!,104,3
19840,Lovely and Confortable Studio in San Fernando Ca,122,2
19841,Sylmar Suite,83,30
19842,COZY AND PRIVATE ROOM WITH LIVING ROOM,75,30
19843,Pomona sweet room B,60,1
19844,LA Hillside House dramatic views super clean. 2BD,373,3
19845,Stunning Socal Gem perfect for couple / family,156,2
19846,Clean and Modern 2 Bedroom with Backyard Oasis,139,1
19847,Cozy 2BR 1 BA in Lovely Pasadena,146,7
19848,CalTech/JPL/NASA/PCC | Private Suite | Queen Bed,67,30
19849,warm cozy loft!,70,2
19850,Long Beach Honey House,549,7
19851,Private Room Between L.A and Disneyland,90,2
19852,Spacious upgraded 3 bedroom TH,220,30
19853,Spacious Oasis,335,2
19854,2 Bedroom Minutes From Beach& Convention Center,176,31
19855,MALIBU AIRSTREAM TRAILER MOUNTAIN ADVENTURE,241,2
19856,Back House Bungalow,225,2
19857,Charming Beach Home 4 min walk to Beach,175,4
19858,Long Beach Hill Sea View Villa,479,3
19859,Cozy House 2 BRs near DTLA,123,1
19860,Charming Room with Private Entrance,80,7
19861,Poolside Oasis near Rose Bowl,125,3
19862,Peaceful Santa Clarita Hub.,67,2
19863,Private R.2_Windsor (Downstairs),35,1
19864,Blueground | Hollywood gym nr Santa Monica blvd,173,31
19865,CA#3 Close to Long Beach & PV newly remodeled 1b1b,102,3
19866,Airy Casita near Old Town Pasadena Rose Bowl,168,7
19867,CalTech/JPL/NASA/PCC |  Private Room | Twin Bed,65,30
19868,One bedroom Guest Home- Private Entrance Near LAX,109,1
19869,Santa Clarita 5 Bdr. Oasis,380,5
19870,Oceanfront Condo with Breathtaking Views!,206,5
19871,Midterm & Short term 1+ miles to beach Large patio,160,3
19872,Cozy 3 bedroom/2bath house with nice view,131,2
19873,Unique Retreat at base of Echo Mt. Altadena CA,80,1
19874,Studio Queen in Boutique Long Beach Hotel,267,1
19875,Quiet Single Room #4 in San Dimas Home w/ View,40,21
19876,1 Bedroom Upstairs Condo,104,5
19877,The South El Monte Solitude,114,5
19878,A charming haven in Lake Balboa,110,30
19879,3bedroom/2 Bath/ 9 beds by DTLA/Universal Studios,205,2
19880,Spacious Heaven|Walk2Beach|Quiet|Parking|3BD Home,220,3
19881,2BR  dog-friendly house with ocean and mtn views,268,31
19882,Upscale House in Santa Clarita,538,3
19883,Bella Vista - 3B2B - 1 200 sq ft,147,30
19884,Spacious Double Bed Suite,150,1
19885,Fully remodeled 4BR/3BR house(Smart TV Netflix ),224,1
19886,Charming 1bdr condo minutes from LAX with parking,150,30
19887,Welcome to this stunning 2 story 3 660 Sqft Villa!,599,30
19888,Beautiful friendly home,65,1
19889,Convenient home - No cleaning fee,174,2
19890,Spacious Calm Cozy 2BDR Ideal for Longer stays,160,30
19891,Level Long Beach - Fantastic One Bedroom Suite,178,31
19892,Centrally Located Studio Ideal for Long Term,87,30
19893,Bright Comfortable 1-Br/Studio with Views in WeHo,110,30
19894,Level Long Beach- Beautiful Jr. Two Bedroom Suite,184,31
19895,Peaceful Retreat; Near Pasadena California,89,28
19896,Casita FRIDA Long Beach,168,2
19897,Beachfront Retreat Getaway,851,3
19898,Hip Historic Pasadena Craftsman,203,1
19899,King Garden Suite - 10 mins to Beach and LAX,106,2
19900,Heart of Koreatown - Luxury 1 Bdrm,180,2
19901,Beautifully Renovated 2022 Home,133,2
19902,Luxurious Resort-Style Guesthouse,272,30
19903,Lux VILLA-LA Pool/Private,1181,2
19904,2-Bedroom Bungalow,2785,1
19905,Private Bedroom Central in Los Angeles,37,30
19906,Just Blocks From CalTech,105,28
19907,Jennifer A,45,1
19908,JMJ Cozy 3 bedroom Home w/parking & backyard,158,2
19909,Newly built cottage with harbor views!,787,2
19910,1 Small Rm,110,7
19911,Views! Guest Suite in Burbank,116,1
19912,Separate Bungalow,54,31
19913,Amazing Private Beach House,265,1
19914,Private pool ! Wonderful Temporary Housing!,368,31
19915,CalTech/JPL/NASA/PCC | Top-Floor Suite | Queen Bed,68,31
19916,Private Entrance Huge Room Downtown Long Beach,53,31
19917,Timothy  2,36,1
19918,Entire Private Spacious Guest Cottage,99,2
19919,Immac Clean Luxurious by Cruise Line LGB Conv Ctr,201,1
19920,Redondo Retreat|1 Mile to the Beach|Fire Pit Patio,170,1
19921,For rent 1 BR female guests only,75,1
19922,Private peaceful & clean stay,126,1
19923,BEST 2 BEDROOM DEAL IN HAMILTON COVE,550,1
19924,Room with many amenities,66,7
19925,Cheerful Two Bedroom Garden Home,265,6
19926,Large Single Rm by I-5 /professional only,71,3
19927,LA convenient 30min Disneyland /universal studios,134,2
19928,Cozy Oasis ~ Private Balcony & BBQ: 2 Min to Beach,479,2
19929,Blueground | Culver City roof walkable area,280,31
19930,Historic Nautical Retreat Steps From Beach & Bites,255,2
19931,Warm and Welcoming LA Home Private Yard & Pool,227,2
19932,Charming 2-bedroom house.,165,3
19933,Sharing the Home w/Host; 2 RMs & bath 1 - 6 guests,180,1
19934,6038 Primerose Ave-4B3B PUD,209,30
19935,Beautiful Room w/Private Bath in Peaceful Home,50,28
19936,Private room in a new house in Pasadena,110,1
19937,Cozy 2 Bedroom/ 2 Bath Condo Minutes From DTLB,142,2
19938,Tranquility Villa,120,1
19939,Architectural Castle.,2500,30
19940,Sunny room near citrus college,44,1
19941,Sunny Retreat in Long Beach 5 min 2 Beach|downtown,141,2
19942,Santa Monica Condo with Roof Patio,197,1
19943,Master Bedroom Private Bath,92,1
19944,URBAN MODERN STYLE 2nd Story Guest House,195,2
19945,Pasadena nice room 5,44,1
19946,Private 1 Room Home San Gabriel near Pasadena,73,1
19947,Long Beach apartment house near beach + downtown,147,3
19948,Unique Modern 1x1 Apartment /835,120,30
19949,Echo Park | Dodger Stadium 1BR,50,30
19950,Cute And Cozy 2 Bedroom,120,28
19951,Wonderful Professionally Designed Beautiful Home,279,15
19952,Urban 3BR Near USC Campus (4 mins)~,170,2
19953,H249: Gorgeous Villa NO STEPS Panoramic Views,418,1
19954,Feel Like Home,60,30
19955,Casa De Colores-10 mins to DTLA driveway parking,104,2
19956,Walk to Hwd Bowl! Hills Gated Oasis. Read reviews!,442,2
19957,Unique Stay! Close to Long Beach Cruise Terminal,390,1
19958,COZY ROOM CLOSE TO THE BEACH NO CLEAN FEE,64,31
19959,Special suite 2B1B,161,1
19960,Amazing Mountain Views in Private 4 Bed 1 Bath RV,58,10
19961,Chic Garden Cozy Getaway Room 1 w/breakfast,104,2
19962,Bed & full bath in beautiful LA home/private entry,75,31
19963,Restored 1913 California Craftsman Bungalow,275,31
19964,SereneBNB - Beautiful Escape with Stunning Views!,174,2
19965,Private Rm #2 Share Bathroom Quiet Parking +,35,1
19966,Modern Home - steps from downtown LB!,207,2
19967,Separate Private Access Big Master Suite No Pet,69,1
19968,Specious 3BR/2.5BA King Queen Twins Safe and Quiet,319,4
19969,Room in a nice area,28,60
19970,Central LA Luxury: 2BR/2BA in Heart of Koreatown,173,7
19971,3 Bedroom Townhome,402,30
19972,Steps from Beverly Hills Queen Studio,150,1
19973,Cozy Residential San Pedro Home with Beach Vibes,211,3
19974,Spacious home w/ garage parking mins from downtown,243,2
19975,MultiOutdoorLounges HeatedSpa+10Min2BelmontShore,294,2
19976,Nice 1 bedroom and Bathroom Pool and Spa,65,15
19977,Beautiful Sherman Oaks Oasis,648,3
19978,The Famous Lassie House Room 3,69,2
19979,Glamorous L.A. 3BR 3BA Getaway,144,1
19980,Warm Home,46,1
19981,Deluxe double,450,1
19982,Cali Cool 2-Bedroom near Beach & Convention,121,31
19983,Nice cozy & close to transportation w/own bath,52,1
19984,Trendy HotTub Games Mini Golf 20mintoDisney RVPark,263,2
19985,Lovely private room & attached 1/2 bath near CSUN,80,30
19986,Master Bedroom with priv BTH in a Townhouse in LA!,79,3
19987,Garden View of calla lilies & trampoline,60,31
19988,Jennifer B,35,1
19989,Private room with queen bed,50,1
19990,Home Away From Home,135,30
19991,Amazing ON the Beach with Heated Pool & Jacuzzi!,519,2
19992,Beach Studio near LB Convention & Beach,183,1
19993,Estate Home LA/San Fernando Valley,35,31
19994,Knotty Whale~GameGarage-PetsOK-FirePit~Beach close,244,2
19995,Classic Elegance in Pasadena,157,2
19996,Sweet Boutique Home &front yard,161,1
19997,Traveler's Dream Pool LUXE Home,201,2
19998,Peaceful home in San Gabriel,87,1
19999,Private Modern guest house with full amenities,100,31
20000,Pool House Close to Everything!,350,2
20001,Spacious nature retreat w/ fruit orchard & trails,104,2
20002,Quiet Family Friendly Home,373,1
20003,Vintage Beach Home with King Suite-Disneyland/LA,315,1
20004,Tokyo Chic Modern 1 BR ~ near DTLA ~,101,1
20005,Chic apt in heart of Hollywood!,170,30
20006,152 Magic Mountain Entertainment Home -Spa-Games,590,30
20007,Mi Casita - Your Home Away From Home!,95,6
20008,Architect's Own Contemporary Gem,449,3
20009,Central South Pasadena Apt 3 Mi to Rose Bowl,132,2
20010,Private Suite Near It All,59,30
20011,Cozy & private home in a quality neighborhood,135,3
20012,2b/2b Private Home Huge Yard Near the Beach!,158,30
20013,Sweet suite dreams of nature.,199,2
20014,A Cozy Retreat in The City,150,2
20015,Comfortable art house 2b1b near rose bowl,135,1
20016,Pasadenaniceroom3,46,1
20017,Luxury DTLA High Rise,185,3
20018,Level Long Beach - Spacious One Bedroom Suite,178,31
20019,Blanca's Dream home,180,1
20020,Luxurious Ocean View Condo 3 min walking to Beach,216,2
20021,New Construction in La Puente.,214,2
20022,5 min from LAX 2 min to a car rental,75,30
20023,Charming Detached Guest Cottage,70,31
20024,Blueground | Brentwood gym nr dining,206,31
20025,Modern Convenient Spacious Studio w/King size Bed,82,2
20026,Spacious Comfort Villa!,736,1
20027,J# Home Good for 10 Near DTLA w/ Parking,128,1
20028,Eclectic Back House: Outdoor Kitchen & Shared Bath,77,30
20029,Sunny King Upper Studio,97,31
20030,Stylish Retreat by Hermosa Pier,202,7
20031,Magical events romantic getaway !,1800,3
20032,Hillside Oasis | Bel Air Mins Ucla & Beverly Hills,289,1
20033,Elegant Master Bedroom Private Entry/Own Bathroom,59,30
20034,The professional recording studio with bedroom!,250,30
20035,Hearst Estate,2400,30
20036,Private Room Close to LAX & SoFi,69,1
20037,Gated Cozy Modernized Family Friendly Home in SGV,240,1
20038,Burbank Airport/Universal Studio/N. Hollywood CA,80,1
20039,Pet-Friendly & First Class Apartment -Style Hotel,384,1
20040,Fully Furnished Hollywood Gem,77,30
20041,Elegant 1BR Suite Sleeps 6,148,1
20042,LA house heated spa and ADU game room w pool table,198,2
20043,Quiet cozy room/TV,52,1
20044,NEW Tiny Malibu Oceanfront Beach House for 2,700,2
20045,West Hollywood Penthouse (Beverly Hills),220,30
20046,Spacious and Cozy Home with Pool in Woodland Hills,446,1
20047,111Cozy townhouse Quiet Street facing Golf course,204,1
20048,Sun-dappled Stay | Film History. Fitness Center,177,1
20049,Stylish 2-Bedroom Suite in Hollywood - BR3-BH,172,2
20050,Blueground | Brentwood pool gym nr restaurants,204,31
20051,Quiet clean beautiful room,113,30
20052,Central Cozy Home near LAX Beaches SoFi,106,1
20053,Pacific Life Guestroom-Shared Bath,56,30
20054,Beautiful Fresh Modern Home In West Hills!,135,30
20055,Private 1 bedroom unit across from Hickory Park,100,30
20056,Las Tunas Beachfront,2250,1
20057,Modern ADU w. Dream Backyard,135,30
20058,5TH Avenue.  SoFi Forum SpaceX StaPle BanC,169,30
20059,Spacious Eclectic Private Bedroom w/ Swimming pool,55,30
20060,Spacious 5B3.5BA : Perfect for Families & Groups,203,2
20061,Blueground | Culver City gym walkable area,248,31
20062,LA Skyline view prime location 1bed & 1bath condo,109,30
20063,Peaceful and Pretty in Sherman Oaks,90,30
20064,Waterfront 2BDRM with Patio in Playa Del Rey,321,30
20065,Guest suite with ocean view patio,201,2
20066,3BR Oceanfront Malibu Retreat,706,2
20067,Modern Lavish NOHO Townhouse+ Parking + 2mls Air,182,2
20068,Comfortable queen size bed (1),44,1
20069,Mid century hillside 3 bedroom with VIEWS!,169,30
20070,Heart of Studio City 2Queen bed BRAND NEW HOTEL,207,1
20071,Brand New Luxury Home - 4 Bed 3 Bath,371,1
20072,Abbot Kinney | Garden Patio | Walk to Beach,425,30
20073,Modern and cozy one bedroom studio at Walnut,95,30
20074,Spacious Villa Views in Tarzana,720,3
20075,NEW Private Home w/Laundry Near Los Angeles!,128,1
20076,Light Bright two bedroom Spacious,188,7
20077,Modern treehouse in the heart of Topanga canyon,651,1
20078,LA 5 Stars 3 Bedroms 2 Bathrooms House,180,30
20079,Cozy Getaway Private Bath Prime Location,69,1
20080,The Vinton #9,90,31
20081,Bev Hills | West Hollywood Premium Elite Suite S,159,1
20082,1B/R house in Bel Air close to UCLA Beverly Hills,220,30
20083,Pirates of the Caribbean Getaway,168,2
20084,Cozy private room for long-term rental,34,30
20085,Malibu poolside retreat P. Palisades & Getty Villa,1014,5
20086,MasterBedroom W PrivateEntrance,70,4
20087,Elevated Elegance oasis!,800,1
20088,Private Cabin with incredible view.,150,30
20089,Tuscan Style Malibu Villa w/Pool Spa Ocean Views,1048,1
20090,Spacious Home w Parking near USC,274,1
20091,10 Mins from USC Beautiful room w/bathroom #2,65,30
20092,Luxury 1 bedroom suit with patio and Laundry unit,140,30
20093,Exquisite Villa Near I-57&I-60 E#41751,214,29
20094,Charming English Country Cottage in Laurel Canyon,283,4
20095,Bright Stylish 4BD Modern House + Private Pool,364,2
20096,Burbank 3 Monthly Oasis Housing,24,30
20097,Enjoy Striking Views with Rooftop Swimming Pool!,399,1
20098,Hip styling fireplace and private balcony,223,1
20099,Enchanted garden! The perfect getaway,270,2
20100,Private Bedroom/Bath with Private Entrance,95,1
20101,Clean Modern - Private 1 bd apt,90,30
20102,Modern Cozy GuesthouseS.MonicaCA-N. Montana#215383,400,3
20103,Furnished 2BD/2BA w/ Balcony Fireplace Gym Pool,125,31
20104,Private Casita with Garden - Walk to Beach and Tra,175,2
20105,@Agoura Hills condo 1 Br+1 Bathroom Near All,99,31
20106,Washer&Dryer 5 in a New Smart Deluxe Unit,66,30
20107,Guest Suite close to CSUN and hospitals,129,2
20108,Stunning Ocean View 3-Bed Home!,216,31
20109,Lovely Cozy Studio near CSUN. Long Term,64,30
20110,Agoura Hills Bedroom 2,48,31
20111,King Bed LA Getaway 15 min to Beach,98,5
20112,Posh Private Room near LAX and Forum,73,1
20113,Near Downtown LA in Echo Park Charm 4,105,2
20114,Malibu Five - No. 3 - Beachfront Suite w/ Parking,468,1
20115,The Diamond,450,30
20116,Glendale/Atwater Village 1+1 W/D,125,45
20117,The Wilcox #4 - 2 bedrm 1.5 bath corner unit!,85,31
20118,Private Unit - 2 miles from the beach,70,30
20119,Serene Malibu Views above the clouds 5BR/4 Bath,1352,3
20120,Serene Mediterranean Master Suite walk in shower,75,3
20121,Malibu Ocean Front sanctuary close to everything,469,2
20122,Artist's Cabin peaceful quiet w/ Wi-Fi & trails,124,1
20123,Sought After 360 South Bay 2BD 2.5 BA (30 nt. Min),139,30
20124,Blue Oasis: Queen Bed in Tranquil Beverly Hills,150,1
20125,Whimsical loft near LAX beaches & Downtown LA,144,2
20126,Downtown Culver Tropical Escape,134,2
20127,Blueground | Hollywood nr coffee movies & hiking,276,31
20128,In the hills below Hollywood Sign!,170,30
20129,xStylish 3 Bedroom with W/D by 1Furnished!,162,30
20130,West Hollywood - Havenhurst Ave 1 Bedroom,130,30
20131,Ingelwood Elite Properties,181,31
20132,New 4BR Pool Oasis: Your Luxury Escape!,364,3
20133,Remodeled 1 bed / 1 bath 41st #1,54,30
20134,Sunny Apartment with a Mountain View in Central Eagle Rock,117,30
20135,Villa Bahia by Stay Awhile Villas,1361,2
20136,Chic & Modern townhouse in Prime LA,550,2
20137,Family home near LAX & 405 Frwy,72,1
20138,Cozy updated beach bungalow,173,2
20139,Disney Studio Bungalow,150,2
20140,Cozy centrally located 1 bedroom with parking,69,31
20141,Quiet Alhambra Home Near Monterrey Park,126,2
20142,Malibu Canyon Beautiful English Country Retreat,763,2
20143,Cozy mountain hideaway in the trees,235,2
20144,Heaven - Home Away from Home!,450,30
20145,The Guest house in the Valley,90,30
20146,OCEAN VIEWS:   Main House + Private Guest House,700,30
20147,Go Hiking and Biking from a Cottage with Mountain,550,1
20148,Super nice 2+2 condo in Los Angeles/San Fdo.Valley,135,30
20149,The Central Spot at Rowland Heights,131,2
20150,Modern brand new cozy house!,273,30
20151,3 Bed/2.5 Malibu Abode (Views!),913,3
20152,NEW listing! Serenity Oasis Home Away from Home,345,30
20153,Cozy Guest Suite | No shared place | Safe area,78,1
20154,Central Location! Gorgeous Room Relaxing patio,186,1
20155,1 bedroom 1 bath private unit,80,1
20156,Cozy private for 2 LA (#4),32,30
20157,Superba Luxury ADU,329,30
20158,LOS ANGELES SAN FDO. VALLEY/NORTH HILLS /VAN NUYS,135,30
20159,Hollywood Trio Suite,200,30
20160,Private Entry Beautiful Room2,63,1
20161,1 bedroom front unit house in Torrance/Los Angeles,111,30
20162,Newly Renovated Playa House steps from the sand!,350,31
20163,Suite in Luxury Lovely unit Pet-Friendly,448,1
20164,Private CalKing right off  Hwy 101,90,30
